"Date","Post ID","Network","Post Type","Content Type","Profile","Link","Post","Linked Content","Public Engagements","Reactions","Comments","Shares"
"6/20/2026 1:00 pm","1720771904827240_1441103681388541","Facebook","Post","Photo","Kids First Chicago","https://www.facebook.com/560299942802257/posts/1441103681388541","To every father doing the work: we see you.

Showing up isn't about perfection. It's about presence, healing, and making the choice every day to be there for our children.

Read Nicholas Jones' powerful letter to fathers and join the conversation at kidsfirstchicago.org/blog

Happy Father's Day!

#FathersMatter #Fatherhood #Parenting #Community #KidsFirstChicago","https://www.facebook.com/560299942802257/posts/1441103681388541","12","5","1","6"
"6/19/2026 11:21 am","2068006388580721055","X","Post","Photo","A Better Chicago","https://twitter.com/_abetterchicago/status/2068006388580721055","Today on Juneteenth, we honor the freedom, resilience, and the enduring strength of our Black communities.

We remain committed to investing in bold ideas and partnering with organizations that are expanding opportunities for young people. https://t.co/X4nZ83jKE9","","0","0","0","0"
"6/19/2026 11:21 am","232693460103788_1444040104421282","Facebook","Post","Photo","A Better Chicago","https://www.facebook.com/324620916363212/posts/1444040104421282","Today on Juneteenth, we honor the freedom, resilience, and the enduring strength of our Black communities.

As we reflect on how far we've come, we want to recognize and celebrate the generations of leaders and advocates who have fought for equity and opportunity for all.

But we are also reminded that the work is not finished. Too many young people still face barriers in place by systemic inequities. 

We remain committed to investing in bold ideas and partnering with organizations that are expanding opportunities for young people. 

Photos of our portfolio partners: The Bloc, the Young Men of Color (YMoC) initiative by Chicago Scholars, The MAAFA Redemption Project","https://www.facebook.com/324620916363212/posts/1444040104421282","2","2","0","0"
"6/19/2026 10:00 am","9961411679_1441605947999222","Facebook","Post","Photo","City Year","https://www.facebook.com/642274284599063/posts/1441605947999222","City Year AmeriCorps members don’t wear capes, but the jacket is basically the same thing. https://bit.ly/3WlV9gj","https://www.facebook.com/photo.php?fbid=1441605904665893&set=a.642264387933386&type=3","3","2","0","1"
"6/19/2026 9:54 am","125302627796_1470200145135673","Facebook","Post","Photo","The Chicago Community Trust","https://www.facebook.com/620686893420340/posts/1470200145135673","When Archana and Sudhir K. Agrawal moved to Chicago in 2021 after more than 30 years in Memphis, they were captivated by the city’s vibrant cultural scene and beautiful lakefront. One of the first things they did was seek out a way to get involved with the community, which quickly led them to The Chicago Community Trust.

The Agrawals noted: “The Trust has the best pulse on what’s happening in the community. As donors, we tend to focus on what we know. The Trust has a broader vision and can make us aware of other community needs we can help with.”

Learn how giving makes them feel at home: https://www.cct.org/stories/archana-and-sudhir-k-agrawal-giving-makes-us-feel-at-home/","https://www.facebook.com/photo.php?fbid=1470200128469008&set=a.620627833426246&type=3","1","1","0","0"
"6/19/2026 9:37 am","1720771904827240_1440024274829815","Facebook","Post","Photo","Kids First Chicago","https://www.facebook.com/560299942802257/posts/1440024274829815","Today, we recognize Juneteenth and honor the leadership, contributions, and enduring impact of Black communities.

As we reflect on the significance of this day, we remain committed to centering family voices, advancing educational equity, and building a future where every student has the opportunity to thrive.

#Juneteenth #EducationalEquity #KidsFirstChicago","https://www.facebook.com/560299942802257/posts/1440024274829815","4","2","0","2"
"6/19/2026 9:25 am","188187514534378_1562384298582327","Facebook","Post","Photo","MacArthur Foundation","https://www.facebook.com/805236477630450/posts/1562384298582327","Ahead of its grand opening on Juneteenth, MacArthur Staff and Board toured the Obama Presidential Center and saw firsthand how it will inspire civic engagement, leadership, and community connection.

We’re proud to support the newest branch of the Chicago Public Library, gardens on the campus developed with Windy City Harvest, and the Obama Scholars program, as well as the Ida B. Wells room in the Democracy in Action Lab, a space where future leaders and community members will learn, collaborate, and create change.

The Museum also features the work of several MacArthur Fellows, including Carrie Mae Weems, Jeffery Gibson, Julie Mehretu, María Magdalena Campos-Pons, Njideka Akunyili Crosby and Mark Bradford.

The Center will be a powerful hub for hope, democracy, and collective action on Chicago’s South Side—in keeping with the legacy of President Obama—and we are excited for all to experience it.","https://www.facebook.com/805236477630450/posts/1562384298582327","92","80","3","9"
"6/19/2026 8:00 am","133607023351110_1460252136132059","Facebook","Post","Photo","Stand for Children Illinois","https://www.facebook.com/557328906424391/posts/1460252136132059","Today, we celebrate the official end of the institution of slavery in the United States! #Juneteenth

Education is a crucial part of healing and advocating for systemic change. Today might be Juneteenth, but liberation is work we must do every day. This is a reminder that we still have work to do, shedding light on this dark history and working together towards a brighter future. One way to get started is by educating yourself, your family, and your community.

Want to learn more about Juneteenth? Head to your local library and check out some of these book suggestions for younger, middle-grade, and older readers about the history and legacy of Juneteenth!
❤️💛💚🖤❤️💛💚🖤","https://www.facebook.com/557328906424391/posts/1460252136132059","1","1","0","0"
"6/18/2026 8:07 pm","232693460103788_1443440354481257","Facebook","Post","Photo","A Better Chicago","https://www.facebook.com/324620916363212/posts/1443440354481257","The grand opening of the Obama Presidential Center was an inspiring celebration of community and the future of Chicago.

Our CEO, Beth Swanson, had the opportunity to attend the grand opening ceremony for Chicago's newest campus and museum on the South Side. 

The event was deeply hopeful, aligning on the insight from our youth survey that 95% of young people feel optimistic about their future.

We hope this new community space will serve as a place where young people can learn, connect, and be inspired for generations to come.

Congratulations to the Obama Foundation and our partners at My Brother's Keeper Alliance on this achievement!","https://www.facebook.com/324620916363212/posts/1443440354481257","20","18","0","2"
"6/18/2026 5:03 pm","188187514534378_1561844438636313","Facebook","Post","Photo","MacArthur Foundation","https://www.facebook.com/805236477630450/posts/1561844438636313","As we mark 250 years, the question isn’t whether Americans can solve hard problems and lift each other up. The question is whether we can keep doing it together for the next 250 years. 

If we want a country of the people, by the people, and for the people then it’s up to each of us to #BeThePeople!

""Gotta Be Us (Be The People),"" a song about the millions of Americans already doing the hard work of building stronger communities, is out now. 

Check it out and submit your own version ⬇️","https://www.facebook.com/122149832534934107/posts/122173037114934107","1","1","0","0"
"6/18/2026 1:51 pm","221488995515_1675895691205871","Facebook","Post","Photo","Advance Illinois","https://www.facebook.com/414749720653814/posts/1675895691205871","","https://www.facebook.com/122138384102866785/posts/122189318978866785","0","0","0","0"
