"Date","Facebook Page","Followers","Net Follower Growth","Published Posts","Views","Organic Views","Paid Views","Reach","Organic Reach","Paid Reach","Engagements","Reactions","Comments","Shares","Post Link Clicks","Other Post Clicks","Page Actions","Engagement Rate (per View)","Video Views","Full Video Views","Partial Video Views","Organic Video Views","Organic Full Video Views","Organic Partial Video Views","Paid Video Views","Paid Full Video Views","Paid Partial Video Views","Click to Play Video Views","Autoplay Video Views"
"12-29-2022","The Chicago Public Education Fund","2,235","0","0","68","66","0","43","","0","4","0","0","0","1","3","0","5.88%","1","0","1","1","0","1","0","0","0","0","1"
"12-30-2022","The Chicago Public Education Fund","2,235","0","0","57","54","0","24","","0","2","0","0","0","0","2","0","3.51%","0","0","0","0","0","0","0","0","0","0","0"
"12-31-2022","The Chicago Public Education Fund","2,235","0","0","138","135","0","87","","0","4","4","0","0","0","0","0","2.9%","1","1","0","1","1","0","0","0","0","0","1"
"01-01-2023","The Chicago Public Education Fund","2,233","-2","0","45","42","0","39","","0","2","2","0","0","0","0","0","4.44%","1","0","1","1","0","1","0","0","0","0","1"
"01-02-2023","The Chicago Public Education Fund","2,233","0","0","43","40","0","23","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-03-2023","The Chicago Public Education Fund","2,234","1","0","122","121","0","112","","0","5","3","0","0","0","2","0","4.1%","1","0","1","1","0","1","0","0","0","0","1"
"01-04-2023","The Chicago Public Education Fund","2,234","0","0","80","77","0","56","","0","13","4","1","0","1","7","0","16.25%","1","0","1","1","0","1","0","0","0","0","1"
"01-05-2023","The Chicago Public Education Fund","2,234","0","0","20","18","0","18","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-06-2023","The Chicago Public Education Fund","2,234","0","0","15","14","0","12","","0","1","0","0","0","1","0","0","6.67%","0","0","0","0","0","0","0","0","0","0","0"
"01-07-2023","The Chicago Public Education Fund","2,234","0","0","9","9","0","9","","0","0","0","0","0","0","0","0","0%","1","1","0","1","1","0","0","0","0","0","1"
"01-08-2023","The Chicago Public Education Fund","2,234","0","0","10","9","0","8","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-09-2023","The Chicago Public Education Fund","2,234","0","0","12","12","0","12","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-10-2023","The Chicago Public Education Fund","2,234","0","0","11","11","0","10","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-11-2023","The Chicago Public Education Fund","2,234","0","0","13","11","0","9","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-12-2023","The Chicago Public Education Fund","2,234","0","0","18","15","0","14","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"01-13-2023","The Chicago Public Education Fund","2,234","0","0","124","123","0","7","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"01-14-2023","The Chicago Public Education Fund","2,234","0","0","5","5","0","5","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-15-2023","The Chicago Public Education Fund","2,234","0","0","9","9","0","8","","0","0","0","0","0","0","0","0","0%","1","1","0","1","1","0","0","0","0","0","1"
"01-16-2023","The Chicago Public Education Fund","2,234","0","0","35","30","0","9","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"01-17-2023","The Chicago Public Education Fund","2,234","0","0","54","48","0","28","","0","4","0","0","0","2","2","0","7.41%","0","0","0","0","0","0","0","0","0","0","0"
"01-18-2023","The Chicago Public Education Fund","2,234","0","0","26","25","0","24","","0","2","0","0","0","2","0","0","7.69%","0","0","0","0","0","0","0","0","0","0","0"
"01-19-2023","The Chicago Public Education Fund","2,234","0","0","347","334","0","309","","0","57","12","1","0","2","42","0","16.43%","3","1","2","3","1","2","0","0","0","0","3"
"01-20-2023","The Chicago Public Education Fund","2,234","0","0","337","330","0","285","","0","76","6","0","0","0","70","0","22.55%","2","0","2","2","0","2","0","0","0","0","2"
"01-21-2023","The Chicago Public Education Fund","2,234","0","0","152","150","0","120","","0","11","1","0","0","1","9","0","7.24%","1","0","1","1","0","1","0","0","0","0","1"
"01-22-2023","The Chicago Public Education Fund","2,234","0","0","540","538","0","534","","0","109","6","0","1","0","102","0","20.19%","1","1","0","1","1","0","0","0","0","0","1"
"01-23-2023","The Chicago Public Education Fund","2,234","0","0","159","158","0","133","","0","21","2","2","0","0","17","0","13.21%","0","0","0","0","0","0","0","0","0","0","0"
"01-24-2023","The Chicago Public Education Fund","2,234","0","0","127","122","0","47","","0","6","1","0","0","0","5","0","4.72%","0","0","0","0","0","0","0","0","0","0","0"
"01-25-2023","The Chicago Public Education Fund","2,234","0","0","72","71","0","31","","0","6","0","0","0","1","5","0","8.33%","0","0","0","0","0","0","0","0","0","0","0"
"01-26-2023","The Chicago Public Education Fund","2,236","2","0","35","32","0","20","","0","1","0","0","0","0","1","0","2.86%","2","2","0","2","2","0","0","0","0","0","2"
"01-27-2023","The Chicago Public Education Fund","2,236","0","0","187","177","0","121","","0","14","3","1","0","0","10","0","7.49%","0","0","0","0","0","0","0","0","0","0","0"
"01-28-2023","The Chicago Public Education Fund","2,236","0","0","74","71","0","67","","0","2","0","0","0","0","2","0","2.7%","1","0","1","1","0","1","0","0","0","0","1"
"01-29-2023","The Chicago Public Education Fund","2,236","0","0","23","23","0","20","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"01-30-2023","The Chicago Public Education Fund","2,236","0","0","174","174","0","165","","0","17","3","0","1","9","4","0","9.77%","0","0","0","0","0","0","0","0","0","0","0"
"01-31-2023","The Chicago Public Education Fund","2,236","0","0","218","214","0","174","","0","13","1","0","2","6","4","0","5.96%","0","0","0","0","0","0","0","0","0","0","0"
"02-01-2023","The Chicago Public Education Fund","2,236","0","0","101","93","0","79","","0","8","3","0","0","4","1","0","7.92%","4","2","2","4","2","2","0","0","0","0","4"
"02-02-2023","The Chicago Public Education Fund","2,236","0","0","37","37","0","34","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"02-03-2023","The Chicago Public Education Fund","2,236","0","0","78","76","0","33","","0","1","0","0","0","1","0","0","1.28%","3","0","3","3","0","3","0","0","0","0","3"
"02-04-2023","The Chicago Public Education Fund","2,236","0","0","23","23","0","23","","0","4","0","0","0","4","0","0","17.39%","2","0","2","2","0","2","0","0","0","0","2"
"02-05-2023","The Chicago Public Education Fund","2,236","0","0","25","25","0","17","","0","3","0","0","0","1","2","0","12%","1","0","1","1","0","1","0","0","0","0","1"
"02-06-2023","The Chicago Public Education Fund","2,236","0","0","7","7","0","6","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"02-07-2023","The Chicago Public Education Fund","2,236","0","0","19","19","0","16","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"02-08-2023","The Chicago Public Education Fund","2,235","-1","0","390","389","0","343","","0","90","9","0","0","0","81","0","23.08%","1","0","1","1","0","1","0","0","0","0","1"
"02-09-2023","The Chicago Public Education Fund","2,235","0","0","157","155","0","145","","0","36","4","0","0","0","32","0","22.93%","1","1","0","1","1","0","0","0","0","0","1"
"02-10-2023","The Chicago Public Education Fund","2,235","0","0","94","93","0","82","","0","5","3","0","0","0","2","0","5.32%","0","0","0","0","0","0","0","0","0","0","0"
"02-11-2023","The Chicago Public Education Fund","2,237","2","0","106","99","0","64","","0","13","5","0","0","0","8","0","12.26%","0","0","0","0","0","0","0","0","0","0","0"
"02-12-2023","The Chicago Public Education Fund","2,237","0","0","35","34","0","28","","0","4","2","0","0","0","2","0","11.43%","1","0","1","1","0","1","0","0","0","0","1"
"02-13-2023","The Chicago Public Education Fund","2,237","0","0","24","20","0","18","","0","6","2","0","0","2","2","0","25%","0","0","0","0","0","0","0","0","0","0","0"
"02-14-2023","The Chicago Public Education Fund","2,237","0","0","146","146","0","143","","0","13","0","0","1","8","4","0","8.9%","0","0","0","0","0","0","0","0","0","0","0"
"02-15-2023","The Chicago Public Education Fund","2,238","1","0","189","185","0","185","","0","30","3","0","0","19","8","0","15.87%","4","2","2","4","2","2","0","0","0","0","4"
"02-16-2023","The Chicago Public Education Fund","2,238","0","0","270","264","0","193","","0","37","5","0","0","5","27","0","13.7%","3","0","3","3","0","3","0","0","0","0","3"
"02-17-2023","The Chicago Public Education Fund","2,238","0","0","137","137","0","128","","0","18","1","0","0","3","14","0","13.14%","2","1","1","2","1","1","0","0","0","0","2"
"02-18-2023","The Chicago Public Education Fund","2,238","0","0","127","126","0","117","","0","9","2","0","1","4","2","0","7.09%","2","2","0","2","2","0","0","0","0","0","2"
"02-19-2023","The Chicago Public Education Fund","2,238","0","0","61","61","0","60","","0","2","0","0","0","2","0","0","3.28%","0","0","0","0","0","0","0","0","0","0","0"
"02-20-2023","The Chicago Public Education Fund","2,238","0","0","35","35","0","33","","0","3","0","0","0","0","3","0","8.57%","0","0","0","0","0","0","0","0","0","0","0"
"02-21-2023","The Chicago Public Education Fund","2,238","0","0","14","14","0","14","","0","1","0","0","0","0","1","0","7.14%","1","0","1","1","0","1","0","0","0","0","1"
"02-22-2023","The Chicago Public Education Fund","2,240","2","0","48","42","0","20","","0","13","0","0","0","1","12","0","27.08%","0","0","0","0","0","0","0","0","0","0","0"
"02-23-2023","The Chicago Public Education Fund","2,240","0","0","11","11","0","10","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"02-24-2023","The Chicago Public Education Fund","2,242","2","0","17","16","0","11","","0","1","0","0","0","1","0","0","5.88%","2","0","2","2","0","2","0","0","0","0","2"
"02-25-2023","The Chicago Public Education Fund","2,242","0","0","6","6","0","6","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"02-26-2023","The Chicago Public Education Fund","2,242","0","0","27","25","0","10","","0","1","0","0","0","0","1","0","3.7%","2","1","1","2","1","1","0","0","0","0","2"
"02-27-2023","The Chicago Public Education Fund","2,242","0","0","7","7","0","6","","0","5","1","0","0","0","4","0","71.43%","2","2","0","2","2","0","0","0","0","0","2"
"02-28-2023","The Chicago Public Education Fund","2,243","1","0","78","70","0","12","","0","11","0","0","0","0","11","0","14.1%","2","2","0","2","2","0","0","0","0","1","1"
"03-01-2023","The Chicago Public Education Fund","2,243","0","0","154","152","0","10","","0","2","0","0","0","2","0","0","1.3%","1","1","0","1","1","0","0","0","0","0","1"
"03-02-2023","The Chicago Public Education Fund","2,243","0","0","15","15","0","10","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"03-03-2023","The Chicago Public Education Fund","2,243","0","0","13","11","0","10","","0","0","0","0","0","0","0","0","0%","2","0","2","2","0","2","0","0","0","0","2"
