"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-15-2026","LinkedIn","The Chicago Public Education Fund","5,660","7","7","2","0","1","775","286","64","8.26%","28","3","2","31","","","","","","","","","","","","","","","","0","","","","","0","2","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-16-2026","X","'@TheFundChicago","3,059","-1","0","0","0","1","22","1","0","0%","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-16-2026","Facebook","The Chicago Public Education Fund","2,509","1","","0","0","0","200","9","15","7.5%","1","1","0","10","","3","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-16-2026","LinkedIn","The Chicago Public Education Fund","5,668","7","7","1","1","0","420","97","19","4.52%","9","0","0","10","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-17-2026","X","'@TheFundChicago","3,058","-1","0","0","0","0","7","1","1","14.29%","0","0","0","0","","1","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-17-2026","Facebook","The Chicago Public Education Fund","2,510","0","","0","0","0","166","17","13","7.83%","1","0","0","6","","6","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-17-2026","LinkedIn","The Chicago Public Education Fund","5,674","2","2","0","0","0","283","42","14","4.95%","6","0","0","8","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-18-2026","X","'@TheFundChicago","3,058","0","0","0","0","0","4","1","0","0%","0","0","0","0","","0","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-18-2026","Facebook","The Chicago Public Education Fund","2,509","0","","0","0","0","68","14","5","7.35%","1","0","0","4","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-18-2026","LinkedIn","The Chicago Public Education Fund","5,676","0","0","0","0","0","151","32","8","5.3%","2","0","0","6","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-19-2026","X","'@TheFundChicago","3,058","0","0","1","1","0","28","10","0","0%","0","0","0","0","","0","0","1","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-19-2026","Facebook","The Chicago Public Education Fund","2,509","0","","1","1","0","118","15","0","0%","0","0","0","0","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-19-2026","LinkedIn","The Chicago Public Education Fund","5,677","1","1","1","1","0","230","59","11","4.78%","3","0","0","8","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-20-2026","X","'@TheFundChicago","3,057","-1","0","0","0","2","82","16","9","10.98%","2","0","1","0","","6","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","1","0","0","","","","","0","","0","","","","","","","",""
"01-20-2026","Facebook","The Chicago Public Education Fund","2,509","0","","3","3","0","293","18","2","0.68%","1","0","0","1","","0","","","","","","3","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-20-2026","LinkedIn","The Chicago Public Education Fund","5,677","4","4","2","2","0","326","49","22","6.75%","9","0","0","13","","","","","","","","","","","","","","","","0","","","","","2","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-21-2026","X","'@TheFundChicago","3,056","-1","0","0","0","0","9","3","1","11.11%","0","0","0","0","","1","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-21-2026","Facebook","The Chicago Public Education Fund","2,509","0","","0","0","0","148","8","3","2.03%","2","0","0","1","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-21-2026","LinkedIn","The Chicago Public Education Fund","5,681","4","4","1","1","1","679","27","26","3.83%","7","0","3","16","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-22-2026","X","'@TheFundChicago","3,056","0","0","1","1","6","58","1","3","5.17%","2","0","1","0","","0","0","1","0","0","0","","","","","","","","","0","","","","","","","","","","","","","1","0","1","4","0","","","","","0","","0","","","","","","","",""
"01-22-2026","Facebook","The Chicago Public Education Fund","2,509","0","","3","1","1","951","7","0","0%","0","0","0","0","","0","","","","","","1","0","2","0","0","","","","0","","","","","","","","","","","","","","","","","","0","1","0","0","0","","0","","","","","","","",""
"01-22-2026","LinkedIn","The Chicago Public Education Fund","5,686","7","7","1","1","0","437","6","23","5.26%","9","0","0","14","","","","","","","","","","","","","","","","0","","","","","1","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-23-2026","X","'@TheFundChicago","3,056","0","0","0","0","0","35","1","2","5.71%","1","0","0","0","","0","1","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
